Date:20150105, table:MarketData_510050_sh, MaxRecordDate:0, Wind:2917
Date:20150106, table:MarketData_510050_sh, MaxRecordDate:20150105, Wind:2884
Date:20150107, table:MarketData_510050_sh, MaxRecordDate:20150106, Wind:2868
Date:20150108, table:MarketData_510050_sh, MaxRecordDate:20150107, Wind:2833
Date:20150109, table:MarketData_510050_sh, MaxRecordDate:20150108, Wind:2946
Date:20150112, table:MarketData_510050_sh, MaxRecordDate:20150109, Wind:3000
Date:20150113, table:MarketData_510050_sh, MaxRecordDate:20150112, Wind:2847
Date:20150114, table:MarketData_510050_sh, MaxRecordDate:20150113, Wind:2933
Date:20150115, table:MarketData_510050_sh, MaxRecordDate:20150114, Wind:2873
Date:20150116, table:MarketData_510050_sh, MaxRecordDate:20150115, Wind:2919
Date:20150119, table:MarketData_510050_sh, MaxRecordDate:20150116, Wind:2915
Date:20150120, table:MarketData_510050_sh, MaxRecordDate:20150119, Wind:2664
Date:20150121, table:MarketData_510050_sh, MaxRecordDate:20150120, Wind:2914
Date:20150122, table:MarketData_510050_sh, MaxRecordDate:20150121, Wind:2873
Date:20150123, table:MarketData_510050_sh, MaxRecordDate:20150122, Wind:2357
Date:20150126, table:MarketData_510050_sh, MaxRecordDate:20150123, Wind:2923
Date:20150127, table:MarketData_510050_sh, MaxRecordDate:20150126, Wind:2967
Date:20150128, table:MarketData_510050_sh, MaxRecordDate:20150127, Wind:2665
Date:20150129, table:MarketData_510050_sh, MaxRecordDate:20150128, Wind:2901
Date:20150130, table:MarketData_510050_sh, MaxRecordDate:20150129, Wind:2928
