Date:20150105, table:MarketData_510050_sh, MaxRecordDate:20150130
Date:20150106, table:MarketData_510050_sh, MaxRecordDate:20150130
Date:20150107, table:MarketData_510050_sh, MaxRecordDate:20150130
Date:20150108, table:MarketData_510050_sh, MaxRecordDate:20150130
Date:20150109, table:MarketData_510050_sh, MaxRecordDate:20150130
Date:20150112, table:MarketData_510050_sh, MaxRecordDate:20150130
Date:20150113, table:MarketData_510050_sh, MaxRecordDate:20150130
Date:20150114, table:MarketData_510050_sh, MaxRecordDate:20150130
Date:20150115, table:MarketData_510050_sh, MaxRecordDate:20150130
Date:20150116, table:MarketData_510050_sh, MaxRecordDate:20150130
Date:20150119, table:MarketData_510050_sh, MaxRecordDate:20150130
Date:20150120, table:MarketData_510050_sh, MaxRecordDate:20150130
Date:20150121, table:MarketData_510050_sh, MaxRecordDate:20150130
Date:20150122, table:MarketData_510050_sh, MaxRecordDate:20150130
Date:20150123, table:MarketData_510050_sh, MaxRecordDate:20150130
Date:20150126, table:MarketData_510050_sh, MaxRecordDate:20150130
Date:20150127, table:MarketData_510050_sh, MaxRecordDate:20150130
Date:20150128, table:MarketData_510050_sh, MaxRecordDate:20150130
Date:20150129, table:MarketData_510050_sh, MaxRecordDate:20150130
Date:20150130, table:MarketData_510050_sh, MaxRecordDate:20150130
Date:20150202, table:MarketData_510050_sh, MaxRecordDate:0, Wind:2921
Date:20150203, table:MarketData_510050_sh, MaxRecordDate:20150202, Wind:2867
Date:20150204, table:MarketData_510050_sh, MaxRecordDate:20150203, Wind:2967
Date:20150205, table:MarketData_510050_sh, MaxRecordDate:20150204, Wind:2960
Date:20150206, table:MarketData_510050_sh, MaxRecordDate:20150205, Wind:2792
Date:20150209, table:MarketData_510050_sh, MaxRecordDate:20150206, Wind:2837
Date:20150210, table:MarketData_510050_sh, MaxRecordDate:20150209, Wind:2600
Date:20150211, table:MarketData_510050_sh, MaxRecordDate:20150210, Wind:2907
Date:20150212, table:MarketData_510050_sh, MaxRecordDate:20150211, Wind:2866
Date:20150213, table:MarketData_510050_sh, MaxRecordDate:20150212, Wind:2634
Date:20150216, table:MarketData_510050_sh, MaxRecordDate:20150213, Wind:2628
Date:20150217, table:MarketData_510050_sh, MaxRecordDate:20150216, Wind:2858
Date:20150225, table:MarketData_510050_sh, MaxRecordDate:20150217, Wind:2901
Date:20150226, table:MarketData_510050_sh, MaxRecordDate:20150225, Wind:2826
Date:20150227, table:MarketData_510050_sh, MaxRecordDate:20150226, Wind:2886
Date:20150302, table:MarketData_510050_sh, MaxRecordDate:0, Wind:2871
Date:20150303, table:MarketData_510050_sh, MaxRecordDate:20150302, Wind:2801
Date:20150304, table:MarketData_510050_sh, MaxRecordDate:20150303, Wind:2816
Date:20150305, table:MarketData_510050_sh, MaxRecordDate:20150304, Wind:2612
Date:20150306, table:MarketData_510050_sh, MaxRecordDate:20150305, Wind:2863
Date:20150309, table:MarketData_510050_sh, MaxRecordDate:20150306, Wind:2798
Date:20150310, table:MarketData_510050_sh, MaxRecordDate:20150309, Wind:2818
Date:20150311, table:MarketData_510050_sh, MaxRecordDate:20150310, Wind:2651
Date:20150312, table:MarketData_510050_sh, MaxRecordDate:20150311, Wind:2747
Date:20150313, table:MarketData_510050_sh, MaxRecordDate:20150312, Wind:2792
Date:20150316, table:MarketData_510050_sh, MaxRecordDate:20150313, Wind:2840
Date:20150317, table:MarketData_510050_sh, MaxRecordDate:20150316, Wind:2799
Date:20150318, table:MarketData_510050_sh, MaxRecordDate:20150317, Wind:2675
Date:20150319, table:MarketData_510050_sh, MaxRecordDate:20150318, Wind:2497
Date:20150320, table:MarketData_510050_sh, MaxRecordDate:20150319, Wind:2390
Date:20150323, table:MarketData_510050_sh, MaxRecordDate:20150320, Wind:2503
Date:20150324, table:MarketData_510050_sh, MaxRecordDate:20150323, Wind:2719
Date:20150325, table:MarketData_510050_sh, MaxRecordDate:20150324, Wind:2741
Date:20150326, table:MarketData_510050_sh, MaxRecordDate:20150325, Wind:2467
Date:20150327, table:MarketData_510050_sh, MaxRecordDate:20150326, Wind:2574
Date:20150330, table:MarketData_510050_sh, MaxRecordDate:20150327, Wind:4894
Date:20150331, table:MarketData_510050_sh, MaxRecordDate:20150330, Wind:2425
Date:20150401, table:MarketData_510050_sh, MaxRecordDate:0, Wind:2367
Date:20150402, table:MarketData_510050_sh, MaxRecordDate:20150401, Wind:2507
Date:20150403, table:MarketData_510050_sh, MaxRecordDate:20150402, Wind:2335
Date:20150407, table:MarketData_510050_sh, MaxRecordDate:20150403, Wind:2703
Date:20150408, table:MarketData_510050_sh, MaxRecordDate:20150407, Wind:2619
Date:20150409, table:MarketData_510050_sh, MaxRecordDate:20150408, Wind:2597
Date:20150410, table:MarketData_510050_sh, MaxRecordDate:20150409, Wind:2722
Date:20150413, table:MarketData_510050_sh, MaxRecordDate:20150410, Wind:2440
Date:20150414, table:MarketData_510050_sh, MaxRecordDate:20150413, Wind:2441
Date:20150415, table:MarketData_510050_sh, MaxRecordDate:20150414, Wind:2467
Date:20150416, table:MarketData_510050_sh, MaxRecordDate:20150415, Wind:2508
Date:20150417, table:MarketData_510050_sh, MaxRecordDate:20150416, Wind:2789
Date:20150420, table:MarketData_510050_sh, MaxRecordDate:20150417, Wind:2713
Date:20150421, table:MarketData_510050_sh, MaxRecordDate:20150420, Wind:2837
Date:20150422, table:MarketData_510050_sh, MaxRecordDate:20150421, Wind:2629
Date:20150423, table:MarketData_510050_sh, MaxRecordDate:20150422, Wind:2702
Date:20150424, table:MarketData_510050_sh, MaxRecordDate:20150423, Wind:2741
Date:20150427, table:MarketData_510050_sh, MaxRecordDate:20150424, Wind:2541
Date:20150428, table:MarketData_510050_sh, MaxRecordDate:20150427, Wind:2572
Date:20150429, table:MarketData_510050_sh, MaxRecordDate:20150428, Wind:2651
Date:20150430, table:MarketData_510050_sh, MaxRecordDate:20150429, Wind:2681
Date:20150504, table:MarketData_510050_sh, MaxRecordDate:0, Wind:2493
Date:20150505, table:MarketData_510050_sh, MaxRecordDate:20150504, Wind:2538
Date:20150506, table:MarketData_510050_sh, MaxRecordDate:20150505, Wind:2631
Date:20150507, table:MarketData_510050_sh, MaxRecordDate:20150506, Wind:2652
Date:20150508, table:MarketData_510050_sh, MaxRecordDate:20150507, Wind:2488
Date:20150511, table:MarketData_510050_sh, MaxRecordDate:20150508, Wind:2837
Date:20150512, table:MarketData_510050_sh, MaxRecordDate:20150511, Wind:2289
Date:20150513, table:MarketData_510050_sh, MaxRecordDate:20150512, Wind:2772
Date:20150514, table:MarketData_510050_sh, MaxRecordDate:20150513, Wind:2616
Date:20150515, table:MarketData_510050_sh, MaxRecordDate:20150514, Wind:2499
Date:20150518, table:MarketData_510050_sh, MaxRecordDate:20150515, Wind:2567
Date:20150519, table:MarketData_510050_sh, MaxRecordDate:20150518, Wind:2460
Date:20150520, table:MarketData_510050_sh, MaxRecordDate:20150519, Wind:2779
Date:20150521, table:MarketData_510050_sh, MaxRecordDate:20150520, Wind:2466
Date:20150522, table:MarketData_510050_sh, MaxRecordDate:20150521, Wind:2673
Date:20150525, table:MarketData_510050_sh, MaxRecordDate:20150522, Wind:2723
Date:20150526, table:MarketData_510050_sh, MaxRecordDate:20150525, Wind:2758
Date:20150527, table:MarketData_510050_sh, MaxRecordDate:20150526, Wind:2662
